4 500 79 
500 500 500 500 
54 935 43 984
23 1016 61 1078
63 649 36 723
50 620 9 677
30 777 58 830
19 787 65 846
28 770 25 818
69 571 12 627
41 439 10 491
50 698 65 733
36 918 54 985
62 723 41 788
71 589 48 654
18 996 8 1071
14 718 51 765
77 664 29 704
60 786 31 824
60 866 15 932
61 939 30 985
76 1062 59 1106
45 571 56 638
76 579 32 603
12 839 29 869
25 841 50 881
39 684 62 712
37 736 66 783
54 673 4 702
56 862 48 912
28 456 61 547
48 655 60 703
55 532 23 583
75 943 35 983
50 436 65 472
66 542 26 563
27 866 9 926
46 704 57 776
5 726 69 805
64 815 54 860
17 805 46 865
30 779 33 826
20 430 10 503
15 461 69 515
63 472 27 547
27 628 52 673
44 942 29 989
10 964 31 1030
27 745 13 794
60 1060 68 1104
77 1077 14 1165
28 939 6 1000
6 1039 25 1134
8 796 62 847
27 578 62 610
60 516 66 590
10 536 34 584
30 829 65 883
4 713 20 768
76 429 44 482
70 983 33 1047
21 1004 59 1053
46 780 26 832
23 719 78 802
5 625 26 683
50 755 47 809
46 428 59 521
17 926 71 974
14 899 59 990
56 932 24 994
62 589 6 669
60 977 77 988
54 789 19 829
73 911 38 933
30 1072 9 1116
62 745 52 760
63 714 28 798
38 876 9 969
44 786 55 844
51 837 10 866
50 925 42 987
12 431 27 479
47 578 17 609
59 922 40 999
68 477 60 526
19 1026 13 1101
19 1025 28 1086
7 715 53 798
71 670 25 695
32 497 48 576
18 979 78 1021
19 504 53 588
67 957 70 1033
52 866 23 910
64 987 77 1059
77 958 34 1009
72 764 48 794
31 525 26 575
32 803 10 832
75 687 13 748
11 496 35 541
52 460 60 503
13 702 33 798
24 677 15 730
22 1073 16 1120
25 935 20 1011
67 440 59 526
28 747 62 805
57 777 16 832
28 655 14 725
60 984 61 1021
9 1053 44 1084
14 814 4 848
8 642 61 721
76 806 58 884
48 1062 36 1123
64 606 39 650
9 775 18 876
39 1053 40 1076
65 628 72 694
7 785 12 859
11 885 58 946
33 1057 8 1103
68 813 29 841
72 813 70 863
50 427 33 475
17 1057 12 1105
5 682 24 734
50 767 10 807
6 464 9 529
14 588 19 619
31 838 16 865
32 491 11 541
52 651 62 684
64 914 39 969
71 871 49 913
62 618 4 646
21 867 67 940
58 1051 72 1069
9 770 51 821
69 644 12 684
24 778 41 831
38 433 58 530
68 545 17 596
73 779 38 831
50 592 58 645
7 941 51 999
72 1036 10 1075
7 701 11 784
4 752 66 806
70 433 67 510
17 470 35 486
67 1020 35 1090
40 532 52 567
51 793 56 813
27 1031 11 1074
59 848 46 939
67 700 12 741
76 913 22 962
42 535 37 571
49 526 58 573
5 494 48 576
61 644 77 691
46 615 19 678
21 730 15 804
69 782 12 835
13 1077 42 1158
13 678 5 762
33 464 17 523
36 1054 70 1130
6 476 40 537
14 423 35 476
31 440 13 479
47 857 36 924
14 633 4 667
8 860 70 929
65 473 44 531
14 938 72 973
45 994 26 1015
44 431 29 471
72 700 12 737
78 1045 20 1104
40 475 51 517
44 902 65 945
25 808 27 846
78 1035 70 1092
9 576 22 653
16 647 33 700
70 1029 41 1098
49 453 56 530
51 992 26 1058
70 883 42 929
17 442 39 476
52 812 19 860
6 582 63 669
55 1069 59 1108
38 453 35 493
44 969 24 1046
39 883 69 952
16 678 18 714
14 1070 68 1119
67 1072 10 1118
38 417 38 639
71 440 71 709
30 667 30 933
71 674 71 886
56 759 56 1009
65 561 65 766
10 894 10 1132
19 579 19 838
43 437 43 703
66 1111 66 1303
53 417 53 702
51 768 51 1067
67 756 67 1043
37 623 37 885
11 619 11 884
38 1152 38 1435
57 346 57 528
27 1057 27 1341
6 695 6 985
55 1064 55 1357
23 307 23 500
32 652 32 880
78 877 78 1068
60 1065 60 1286
47 530 47 794
63 708 63 994
24 886 24 1169
24 995 24 1218
35 389 35 679
55 1029 55 1289
63 334 63 575
13 554 13 745
36 746 36 949
63 481 63 747
32 786 32 1040
18 1064 18 1330
77 1079 77 1265
30 770 30 1054
67 1152 67 1370
11 805 11 1071
36 786 36 1056
47 973 47 1182
4 374 4 576
25 948 25 1131
72 922 72 1151
70 451 70 744
56 802 56 1087
29 921 29 1131
74 597 74 783
43 795 43 1032
63 1164 63 1421
28 797 28 1073
73 737 73 995
53 717 53 999
40 300 40 533
23 391 23 674
38 447 38 666
76 727 76 926
14 519 14 732
15 385 15 566
50 351 50 640
22 537 22 784
69 872 69 1086
49 527 49 764
58 439 58 644
28 959 28 1175
49 323 49 584
68 970 68 1254
69 1163 69 1454
72 674 72 870
21 934 21 1198
76 810 76 1052
32 517 32 804
30 372 30 562
9 857 9 1049
5 950 5 1144
66 811 66 1016
49 802 49 1042
22 373 22 647
