4 1000 79 
1000 1000 1000 1000 
72 442 54 506
66 718 37 756
19 983 49 1038
76 632 37 690
62 628 25 700
53 988 34 1063
73 432 33 515
24 606 10 681
46 464 30 484
66 823 63 847
76 467 51 521
34 466 76 491
72 901 73 957
21 716 73 768
44 946 42 1014
4 728 76 778
6 695 8 740
61 759 28 813
30 447 73 511
76 962 32 1009
60 1066 29 1102
73 659 26 729
31 852 13 895
50 987 45 1037
32 1030 31 1058
62 849 6 900
55 589 14 615
73 1020 42 1096
43 993 64 1035
24 900 76 932
32 1000 22 1036
38 479 28 532
38 880 75 915
23 868 73 943
53 804 69 844
6 589 4 617
74 966 5 1020
76 658 23 706
25 843 45 877
55 775 27 848
24 879 33 949
68 703 40 748
27 1072 48 1112
41 891 43 953
8 953 48 1000
74 936 21 1002
60 1024 13 1087
54 790 62 845
44 657 74 744
25 727 67 775
42 582 48 615
7 499 12 542
44 508 29 579
51 747 62 806
50 689 47 716
43 1030 65 1122
57 514 59 560
54 980 67 1020
17 901 4 958
15 1049 42 1087
47 750 74 836
34 783 70 827
36 563 7 607
45 449 65 486
75 718 23 766
64 636 48 695
45 488 10 543
29 780 21 830
26 932 14 952
59 504 15 546
61 1033 52 1044
71 910 10 972
15 497 31 541
38 1014 17 1050
31 1003 50 1085
70 958 77 1016
44 460 32 508
22 453 68 486
37 439 65 533
32 689 6 741
63 907 67 957
47 1070 50 1121
30 1030 10 1102
33 452 64 524
38 487 18 548
74 449 49 481
67 500 38 567
4 1025 35 1044
56 429 28 483
73 625 62 690
57 796 22 825
15 613 32 658
77 941 32 977
39 841 25 888
18 731 54 771
37 446 21 493
59 606 8 632
66 990 40 1031
11 749 30 820
68 1066 42 1156
52 595 78 648
35 616 5 659
32 421 13 468
66 453 23 493
37 991 7 1084
50 759 23 784
70 977 72 1038
37 600 17 679
22 518 71 574
24 717 23 795
15 543 37 623
18 466 20 531
77 970 69 1023
78 968 65 1036
13 966 26 1020
54 458 64 519
28 543 22 584
13 474 43 528
12 459 78 494
66 448 44 487
56 648 40 729
23 1012 7 1074
68 986 23 1013
64 764 29 838
74 496 69 520
68 425 47 483
72 871 48 915
58 959 16 1014
34 563 63 614
24 788 65 843
50 1037 5 1074
51 1038 71 1096
29 831 19 898
12 446 10 512
58 730 46 798
11 853 43 930
54 531 9 549
64 1058 9 1085
62 610 74 657
47 653 31 727
37 724 15 792
29 1043 30 1085
18 545 49 593
72 1040 23 1083
47 1051 68 1096
8 1069 51 1147
18 1045 49 1097
76 846 27 884
27 922 4 969
49 673 66 718
17 894 28 940
9 477 28 549
74 544 73 598
29 475 45 526
32 967 60 1019
30 420 75 475
28 869 35 905
72 592 71 647
49 1062 39 1117
48 524 32 565
11 472 66 522
4 887 75 951
14 682 65 737
44 705 25 781
41 498 28 538
57 550 42 611
14 700 68 745
44 602 27 641
66 484 13 528
20 1042 58 1080
12 860 41 902
38 442 30 469
11 836 34 870
8 429 22 476
68 943 42 1005
48 863 36 891
9 695 30 758
7 1034 30 1107
28 1049 67 1111
17 1066 16 1100
14 443 13 481
73 802 47 911
41 763 9 814
69 955 73 1037
47 477 50 505
57 916 56 988
5 856 31 924
25 1040 43 1122
78 750 34 799
67 485 65 560
42 439 64 535
11 845 34 869
38 773 23 817
62 823 74 873
55 1050 35 1096
62 795 36 823
55 646 33 685
70 1060 37 1101
58 971 61 1013
27 884 28 923
52 607 9 697
73 1014 19 1067
5 721 71 770
72 520 42 551
66 517 53 583
15 1039 4 1070
54 514 26 546
76 465 22 504
37 973 10 988
26 937 28 984
22 770 63 785
72 1014 53 1069
6 805 33 863
76 1030 19 1086
70 421 50 488
5 445 8 479
23 729 15 764
15 832 27 893
70 522 12 590
43 735 14 806
37 730 15 788
12 639 27 710
53 889 28 946
65 859 19 921
22 992 45 1041
59 782 63 814
5 574 25 611
44 982 76 1031
49 427 54 470
18 804 28 884
78 1048 48 1098
13 975 23 1056
48 814 78 883
45 737 49 814
58 848 20 882
37 1060 15 1146
12 435 27 510
37 1054 14 1119
57 1016 42 1082
64 976 29 1025
68 797 31 866
44 909 20 923
47 505 63 578
54 508 49 534
77 606 25 629
76 1063 68 1101
12 462 43 548
37 971 46 1026
26 626 20 706
74 888 46 934
61 707 11 767
36 467 18 517
62 471 53 531
35 475 53 514
4 587 64 636
18 514 6 581
9 631 24 675
6 492 66 562
16 1067 47 1125
11 1021 48 1076
72 766 56 847
39 554 48 596
19 954 54 1003
9 877 18 932
78 681 40 739
41 895 32 916
11 647 35 690
16 778 27 825
6 1057 26 1085
75 500 10 524
43 718 11 789
20 1062 25 1142
5 1033 54 1053
25 884 9 932
50 895 29 927
68 442 74 483
50 1064 75 1113
69 790 74 843
69 989 73 1074
56 661 29 710
76 633 9 667
70 834 69 877
47 821 57 911
73 815 48 872
56 467 16 519
14 841 73 908
27 532 72 594
44 982 14 1062
34 1041 71 1102
50 790 38 822
58 704 67 750
5 952 64 1010
57 716 69 798
49 1066 10 1090
29 446 18 489
11 864 6 930
76 558 49 611
71 910 30 943
57 479 44 523
13 468 31 511
47 876 41 953
28 631 72 677
50 584 41 645
55 699 62 770
29 1068 63 1109
37 511 7 588
45 724 77 765
21 862 58 911
49 456 42 523
19 1041 16 1081
34 1069 76 1089
49 493 10 520
17 997 49 1041
45 443 50 478
15 648 20 704
26 858 9 911
13 769 76 809
58 467 65 515
20 760 55 829
10 885 71 939
54 430 13 483
12 458 27 506
6 572 27 621
54 445 38 499
13 535 31 598
54 685 77 736
20 973 18 1033
60 857 45 908
70 923 57 993
54 1072 58 1122
16 957 32 1012
54 1078 32 1144
72 930 70 991
52 457 17 482
21 497 75 561
5 918 16 968
44 1043 43 1127
14 786 70 839
13 1067 73 1098
48 675 56 754
51 677 31 742
12 1078 6 1098
43 565 9 607
41 614 9 668
43 1038 8 1109
22 659 58 706
39 694 64 766
18 867 57 917
72 893 18 982
57 785 44 841
40 739 63 800
15 747 65 780
43 1057 40 1144
14 566 67 608
78 891 54 939
46 700 75 741
20 519 10 584
20 949 19 1016
68 991 33 1081
6 790 35 822
21 1068 18 1136
66 491 45 548
58 902 9 944
49 901 45 959
24 472 73 507
7 474 8 529
37 777 48 843
37 748 9 775
44 977 49 1031
38 1058 18 1126
54 1045 72 1106
26 900 32 965
49 838 17 904
33 756 15 808
35 634 13 675
44 760 61 814
23 470 29 522
60 588 78 609
34 899 67 929
69 595 57 647
11 1024 77 1076
55 722 45 761
72 530 8 585
23 769 67 805
20 430 17 515
35 989 69 1040
49 481 55 530
20 992 16 1067
74 666 18 705
55 956 42 1014
72 456 56 541
33 1047 64 1131
32 948 75 1015
76 648 22 670
48 725 52 761
25 623 64 694
46 1039 65 1108
21 712 18 754
65 1023 28 1079
75 878 77 920
22 1114 22 1411
62 769 62 1052
29 1024 29 1213
19 782 19 991
25 782 25 1014
32 1000 32 1202
62 1007 62 1252
38 1151 38 1409
4 522 4 752
55 543 55 777
69 544 69 807
73 852 73 1048
58 1008 58 1207
35 792 35 1074
64 380 64 665
43 489 43 717
74 469 74 701
63 958 63 1246
74 600 74 794
56 317 56 509
5 959 5 1173
47 333 47 588
35 757 35 949
25 941 25 1231
32 505 32 757
30 973 30 1174
19 938 19 1199
74 677 74 919
55 413 55 688
34 301 34 518
65 810 65 1070
37 951 37 1181
44 506 44 750
31 381 31 568
49 635 49 922
68 305 68 513
20 311 20 561
70 355 70 591
12 1151 12 1337
20 1194 20 1478
42 1177 42 1397
23 793 23 1066
14 558 14 800
5 1013 5 1194
18 301 18 500
22 847 22 1061
19 804 19 1048
21 590 21 881
47 1050 47 1258
75 720 75 989
70 973 70 1223
49 577 49 788
27 1087 27 1334
52 1006 52 1206
59 331 59 522
5 635 5 894
20 301 20 493
21 498 21 678
23 941 23 1217
64 1134 64 1431
20 529 20 805
35 772 35 1055
61 599 61 898
39 621 39 868
4 780 4 1057
9 800 9 989
9 594 9 882
70 926 70 1188
39 1030 39 1261
44 486 44 697
11 398 11 652
45 359 45 603
76 753 76 939
30 1108 30 1381
56 617 56 808
24 535 24 833
64 487 64 715
42 464 42 686
39 1134 39 1404
63 900 63 1187
11 457 11 645
63 414 63 664
61 968 61 1206
12 749 12 1031
27 600 27 881
24 781 24 1017
26 690 26 919
34 811 34 1099
36 757 36 1055
46 618 46 840
59 341 59 607
24 317 24 529
16 532 16 748
43 447 43 686
4 369 4 555
54 915 54 1175
39 369 39 583
24 349 24 625
34 536 34 835
32 508 32 777
52 960 52 1145
10 616 10 867
76 304 76 495
16 908 16 1201
25 1115 25 1390
77 1060 77 1337
45 404 45 702
56 566 56 815
44 1171 44 1381
21 876 21 1082
33 1063 33 1341
18 865 18 1052
78 824 78 1118
17 1073 17 1284
66 1057 66 1284
15 653 15 911
19 422 19 630
68 937 68 1200
59 643 59 847
50 744 50 997
30 1056 30 1238
25 949 25 1144
62 686 62 978
25 858 25 1047
38 1043 38 1254
14 354 14 571
5 339 5 530
51 946 51 1209
