4 500 79 
500 500 500 500 
9 469 16 514
35 770 14 831
61 648 49 716
17 447 62 477
23 1071 61 1140
18 957 75 1022
44 477 40 536
9 859 51 903
72 656 19 673
53 436 70 492
52 487 18 536
34 1079 73 1161
11 568 69 592
12 925 64 1002
76 1049 35 1123
43 829 27 886
72 1050 48 1099
74 967 41 1040
45 578 61 624
12 997 39 1039
61 437 25 471
62 635 8 678
9 442 43 501
26 425 30 463
70 485 44 548
51 1019 44 1079
15 550 65 610
60 573 69 635
21 922 10 943
50 469 44 516
17 731 57 805
20 551 50 627
47 639 78 712
77 472 76 535
15 784 8 833
63 622 18 677
38 483 23 537
73 1076 60 1149
38 1031 29 1078
13 918 40 954
28 689 16 742
13 932 58 972
27 583 37 640
6 704 49 774
47 807 38 887
31 486 70 544
68 954 60 1025
36 837 58 919
73 933 13 991
48 451 72 500
52 979 77 1026
25 1034 72 1102
70 465 27 516
31 731 46 794
75 1051 74 1118
54 744 39 778
55 740 26 787
25 822 10 892
66 618 55 675
20 996 8 1039
12 964 48 1002
45 902 12 971
21 438 12 498
37 458 68 513
16 1007 39 1083
66 467 75 493
12 965 65 1037
26 1053 8 1090
37 750 61 776
38 620 26 679
63 814 18 862
46 512 59 565
22 882 68 933
34 713 66 763
34 503 75 557
14 601 51 656
74 688 42 770
50 1068 12 1093
73 967 68 1010
32 552 62 586
39 623 16 686
67 469 27 520
11 1000 62 1032
19 459 29 532
37 506 64 539
64 908 73 984
68 816 50 873
46 514 77 566
9 434 43 509
37 1050 48 1109
13 1011 66 1057
40 503 76 591
56 505 61 577
45 1029 73 1080
28 645 34 722
60 465 71 477
6 531 42 586
74 455 7 546
40 643 71 689
74 820 55 878
24 1007 37 1070
14 866 39 928
33 566 16 634
50 437 77 481
65 441 28 503
33 461 55 532
10 1072 76 1105
37 978 65 1015
68 800 48 870
26 939 14 1007
50 589 71 667
11 790 7 828
31 719 46 763
53 429 39 482
4 1034 48 1127
73 744 44 809
52 643 76 698
46 635 20 717
75 438 49 487
32 843 23 924
78 602 37 623
47 796 46 834
72 472 9 548
52 593 22 616
12 792 46 851
47 682 5 732
48 753 33 804
46 1011 68 1059
50 952 7 975
32 450 47 505
70 1074 7 1152
76 870 54 925
66 503 26 546
25 478 10 522
15 1050 64 1098
20 719 47 794
14 1002 35 1059
60 433 5 491
58 578 71 634
37 966 27 1026
44 926 36 997
41 1045 61 1098
39 1073 31 1143
53 1051 77 1104
38 1021 50 1059
69 897 73 946
39 886 64 974
56 845 6 898
14 729 54 769
24 565 77 619
39 489 45 541
72 931 48 966
15 695 13 767
69 1025 5 1080
68 441 46 515
71 837 14 908
44 657 47 711
16 699 53 720
9 774 63 833
69 1000 7 1053
24 714 55 778
8 499 25 557
28 579 59 638
28 1035 60 1094
7 581 29 656
46 608 66 663
69 745 26 784
22 468 70 526
78 484 15 521
41 969 40 1015
71 431 33 492
66 776 26 830
49 434 54 473
75 542 64 586
69 901 56 940
57 887 62 932
57 610 40 675
58 446 74 506
73 566 39 597
34 877 32 923
44 970 77 1025
12 942 71 1002
18 451 47 500
43 515 29 579
33 1017 58 1055
77 794 17 835
10 518 74 571
64 686 21 731
72 1064 23 1124
36 774 11 824
14 441 32 520
72 555 64 615
36 728 30 774
64 996 69 1074
21 679 28 714
72 907 15 934
28 910 73 942
58 972 16 1049
29 742 48 804
58 584 30 641
68 447 68 667
51 1172 51 1409
13 1190 13 1398
65 473 65 761
67 1185 67 1409
15 316 15 595
44 1059 44 1331
18 339 18 539
36 659 36 920
47 955 47 1225
13 1043 13 1257
57 1036 57 1304
5 473 5 726
4 1030 4 1313
38 438 38 669
15 590 15 881
57 861 57 1058
32 1000 32 1202
25 981 25 1240
38 1063 38 1312
41 485 41 783
60 358 60 590
58 554 58 803
33 698 33 968
68 975 68 1193
68 906 68 1166
56 438 56 716
44 634 44 838
71 1159 71 1353
30 1185 30 1453
71 839 71 1025
68 316 68 505
7 864 7 1050
15 1010 15 1289
12 614 12 805
74 642 74 869
32 600 32 851
53 1077 53 1271
35 306 35 489
45 405 45 647
23 1002 23 1235
60 733 60 993
67 946 67 1227
51 371 51 611
60 802 60 996
58 647 58 931
5 674 5 970
57 468 57 713
17 412 17 629
47 571 47 765
62 1032 62 1305
21 744 21 950
33 387 33 635
14 352 14 570
72 940 72 1122
6 683 6 951
66 616 66 874
27 856 27 1132
60 530 60 813
48 909 48 1120
29 1199 29 1481
73 310 73 542
56 859 56 1040
63 1148 63 1385
68 847 68 1114
19 837 19 1028
54 635 54 909
22 1066 22 1286
14 1143 14 1379
12 1067 12 1280
25 1012 25 1206
75 364 75 555
58 733 58 1019
74 1019 74 1277
73 754 73 1026
74 641 74 822
41 421 41 625
12 591 12 822
23 984 23 1220
47 1169 47 1358
27 747 27 937
41 789 41 1050
54 1099 54 1355
62 483 62 754
59 893 59 1128
24 1024 24 1225
75 658 75 887
28 1002 28 1278
32 557 32 824
65 732 65 951
14 804 14 1069
17 437 17 677
9 916 9 1161
26 1100 26 1377
74 962 74 1226
18 500 18 708
55 372 55 663
53 1013 53 1206
54 610 54 847
53 343 53 550
50 816 50 1015
60 341 60 560
21 790 21 985
33 625 33 909
28 601 28 786
29 1004 29 1297
49 950 49 1194
36 1114 36 1400
12 390 12 677
72 511 72 768
50 731 50 1016
51 844 51 1084
65 865 65 1065
60 542 60 726
10 829 10 1058
42 704 42 943
67 953 67 1143
56 352 56 625
18 625 18 817
68 498 68 730
15 871 15 1062
24 471 24 716
25 764 25 1032
16 1037 16 1285
37 601 37 889
12 825 12 1008
55 1109 55 1356
18 624 18 908
36 562 36 744
56 1035 56 1235
74 313 74 556
21 1179 21 1411
21 1049 21 1346
55 968 55 1248
31 433 31 705
59 446 59 674
47 313 47 550
38 1190 38 1447
59 850 59 1046
64 586 64 818
12 1177 12 1457
12 810 12 1063
29 1029 29 1286
78 533 78 741
41 470 41 681
53 1115 53 1402
8 810 8 997
77 1087 77 1386
53 885 53 1091
