4 1000 79 
1000 1000 1000 1000 
18 865 72 906
40 1033 41 1085
51 944 30 1033
8 1013 76 1073
17 679 72 759
76 432 70 512
28 682 11 712
74 1031 8 1081
19 658 67 735
22 929 51 968
11 874 40 941
66 440 33 477
69 897 13 933
56 1000 35 1054
70 1057 49 1105
17 771 56 830
12 431 32 469
23 589 73 640
29 448 76 481
11 677 39 763
24 449 66 497
71 576 64 631
70 906 44 950
65 685 22 727
21 742 55 789
71 590 53 624
74 895 57 938
8 1071 26 1117
53 880 55 909
57 845 72 904
55 658 24 695
66 431 12 482
6 751 56 786
54 657 38 706
67 730 64 796
74 729 38 791
20 1068 47 1144
47 448 40 470
5 895 34 973
73 541 74 589
25 462 68 508
54 577 78 626
66 660 44 686
24 900 59 970
27 438 4 508
19 528 20 608
76 745 14 805
43 744 16 790
63 617 19 660
38 1066 11 1140
75 950 48 993
57 734 7 813
34 732 14 790
56 532 69 582
34 616 5 713
44 990 77 1025
73 478 22 543
64 608 20 692
78 801 24 861
57 675 65 723
73 472 21 549
66 1048 68 1075
26 451 69 513
14 446 70 512
47 722 72 778
6 589 48 676
16 423 69 488
8 731 9 791
69 721 32 786
11 508 12 555
33 422 25 469
63 777 4 842
78 850 76 881
71 461 70 538
49 602 44 644
7 469 72 547
74 1072 51 1125
8 938 12 996
22 1028 38 1084
30 526 19 571
55 1068 66 1095
36 424 50 471
29 1030 14 1073
54 1057 11 1146
15 464 6 525
52 492 5 547
58 449 75 487
39 972 22 995
42 514 15 591
42 493 12 544
41 654 75 693
37 522 20 557
51 556 59 599
5 983 63 1023
8 596 53 615
13 575 25 618
28 605 16 668
66 448 34 507
26 750 69 804
13 1059 46 1112
50 820 70 880
34 787 21 848
6 520 47 582
65 467 70 503
42 942 50 995
73 1060 24 1095
74 958 58 994
73 768 39 826
43 543 19 607
32 861 56 898
4 930 53 997
56 962 76 1013
51 424 66 443
64 617 31 671
60 812 30 865
60 993 29 1032
15 636 70 676
49 479 17 530
29 588 22 641
40 745 8 778
71 743 41 795
9 714 14 764
17 1037 26 1086
47 629 10 697
59 941 19 999
39 905 16 948
47 463 5 545
10 566 27 636
60 505 5 544
7 503 64 578
33 440 62 483
14 592 19 651
57 914 8 980
33 595 51 639
43 441 33 509
