4 1000 79 
1000 1000 1000 1000 
51 886 68 926
28 854 71 917
50 627 53 680
57 741 19 777
29 731 40 783
68 782 56 812
14 1038 42 1101
53 441 55 511
60 909 69 964
14 816 12 874
34 721 24 775
39 548 35 612
30 759 28 788
14 506 36 560
25 961 45 992
59 1065 53 1111
64 878 17 906
9 588 30 646
69 707 72 786
29 498 49 551
58 790 24 843
75 643 6 667
13 825 6 881
10 889 23 955
44 1076 76 1138
15 436 41 492
26 1071 64 1086
46 724 21 798
23 684 62 749
24 640 42 701
74 869 13 946
76 841 59 883
65 583 45 635
75 880 21 942
45 878 17 926
56 1037 26 1071
78 1060 4 1124
14 589 32 650
47 982 51 1069
43 424 71 479
12 614 55 636
39 928 62 976
33 1027 28 1067
45 813 47 881
19 754 34 802
65 706 5 779
67 474 10 538
27 957 11 999
65 500 43 574
32 607 52 653
12 586 27 643
56 1031 69 1100
36 969 29 1041
75 1065 16 1097
21 1021 33 1062
29 451 57 517
5 1065 68 1096
38 649 15 696
18 437 36 525
53 731 46 765
12 973 51 1030
33 1052 5 1118
73 1059 58 1120
5 916 33 964
8 457 26 512
47 529 6 622
39 645 70 676
75 827 44 879
61 450 11 541
9 716 15 798
42 872 61 933
25 625 12 699
43 739 4 764
28 887 32 942
67 657 66 724
52 984 66 1078
46 480 63 534
44 986 56 1041
62 745 77 801
26 951 18 1001
18 661 72 745
63 1034 25 1090
41 881 54 938
54 751 10 820
24 1026 26 1051
41 420 53 464
17 545 39 591
27 1062 12 1131
43 649 20 706
23 468 45 517
31 654 75 698
49 699 61 760
71 1052 46 1071
64 685 16 735
27 429 42 462
4 962 73 1005
66 532 34 592
35 794 54 849
32 463 33 534
52 746 4 823
73 847 68 868
6 1012 18 1093
28 594 5 618
35 590 58 647
69 1036 21 1103
13 882 77 935
13 427 5 496
7 880 28 941
20 682 4 724
34 494 64 550
7 508 18 581
69 941 62 1002
40 609 62 637
62 1078 33 1139
70 826 45 861
34 735 50 804
78 585 38 641
77 700 55 743
31 578 22 637
48 1058 43 1093
44 485 58 540
7 747 59 835
27 697 31 746
69 653 43 693
60 1026 65 1069
26 672 60 749
30 614 22 660
57 1075 5 1116
24 874 42 927
48 586 28 612
55 817 10 861
16 615 19 685
10 499 59 548
72 608 54 677
52 757 10 816
17 900 23 942
57 505 13 542
62 933 74 976
65 473 63 529
62 683 36 739
15 850 40 889
37 686 34 764
14 555 40 615
27 533 48 563
50 433 33 455
54 587 60 621
74 979 78 1014
16 1079 30 1141
47 582 8 621
43 687 48 736
47 751 49 819
78 491 32 526
31 425 46 468
44 1073 8 1142
18 1027 11 1105
9 709 11 745
15 466 13 543
21 427 13 498
21 624 67 662
22 440 69 510
27 478 70 509
68 1063 22 1099
51 960 60 1028
39 1024 71 1097
20 651 60 700
77 876 53 954
48 787 39 850
71 809 14 884
17 683 49 728
73 544 47 644
40 958 36 1000
21 657 24 716
44 1076 70 1129
61 706 23 785
5 527 66 591
17 1005 50 1043
10 784 61 848
68 780 5 822
18 697 56 751
13 811 72 874
55 685 44 766
32 681 11 735
23 454 53 525
28 931 54 975
29 496 33 585
22 726 12 761
69 468 76 537
22 992 55 1034
28 720 4 777
46 979 66 1050
40 478 30 523
22 659 63 712
42 506 51 555
4 806 59 868
49 438 63 492
26 526 27 581
71 881 12 955
18 1058 52 1128
43 737 61 781
44 824 60 857
64 1058 35 1122
75 660 30 689
35 935 59 990
29 854 24 929
40 625 62 652
25 739 26 794
30 462 47 516
58 1063 38 1105
37 473 30 516
19 838 5 909
20 543 12 604
19 809 43 897
74 429 33 499
13 999 36 1067
54 978 31 999
67 1034 40 1083
10 440 19 525
30 896 21 953
61 993 25 1044
78 931 53 984
59 459 29 523
50 457 43 546
12 823 24 862
13 780 76 823
68 508 47 574
60 666 56 742
77 828 70 864
12 722 56 766
54 457 37 524
26 440 43 515
15 446 6 503
67 767 41 817
17 943 16 1015
55 1040 52 1093
37 796 8 852
39 1014 72 1069
61 487 31 560
50 721 76 786
54 901 72 969
57 624 38 711
17 1003 11 1041
53 1064 18 1140
75 676 41 733
68 822 21 890
22 696 32 734
30 602 72 649
48 889 24 932
14 1071 65 1157
25 450 6 488
27 623 26 664
22 589 9 652
76 607 66 655
5 1056 53 1114
50 775 56 815
9 732 66 821
14 560 13 602
10 591 59 610
15 543 22 604
41 793 5 828
24 444 4 494
50 726 39 777
62 523 38 597
19 1063 21 1110
72 563 56 626
37 782 63 843
12 869 33 898
64 468 56 502
64 700 32 743
9 1053 61 1138
38 532 68 581
36 1035 31 1088
45 828 64 849
35 920 40 964
25 960 50 1033
43 689 51 731
43 932 51 986
32 999 15 1057
72 528 62 566
37 1043 22 1075
78 1053 12 1104
22 922 29 993
28 574 61 650
38 451 13 524
57 632 63 661
51 701 8 757
36 906 9 939
27 471 4 513
19 601 67 625
64 688 57 711
69 820 18 893
13 1046 4 1133
58 1022 12 1083
74 447 15 478
17 760 26 794
19 1005 75 1080
51 434 12 494
4 962 58 1000
15 589 54 643
37 511 44 581
66 525 57 587
4 950 57 1013
78 1056 72 1111
42 969 36 1023
15 1034 34 1071
71 517 67 559
32 783 53 819
60 995 18 1098
9 698 67 763
45 1050 76 1082
57 791 77 841
30 437 67 491
46 441 6 511
17 826 43 891
68 1072 15 1111
50 860 74 927
9 969 14 1004
13 454 55 486
47 659 62 695
29 472 43 519
54 1029 14 1105
55 440 40 510
21 462 20 533
34 958 15 979
19 604 69 689
41 769 56 808
25 827 57 901
56 461 27 491
10 471 76 503
61 433 32 523
59 976 74 1050
63 752 30 779
37 763 19 812
45 507 77 553
51 597 77 629
48 469 29 513
5 1028 41 1088
55 438 20 477
75 958 6 997
40 425 27 455
14 552 77 620
48 824 11 885
4 600 19 660
43 439 74 478
54 425 20 474
44 593 19 636
76 427 26 471
30 760 73 801
23 997 48 1060
16 424 4 461
17 899 15 967
34 445 24 500
28 635 44 713
11 842 49 894
26 743 8 785
21 458 33 518
45 799 11 869
57 887 56 930
4 941 49 1008
16 434 74 489
74 662 66 713
20 493 9 570
33 937 50 961
37 437 73 501
31 836 65 881
65 459 35 513
56 451 49 487
26 478 21 534
61 873 20 918
27 592 23 655
53 461 10 539
46 518 38 561
74 565 66 633
75 470 60 529
24 454 50 475
57 795 16 862
52 664 55 685
56 908 10 937
62 1075 41 1102
24 534 30 585
21 1076 26 1142
57 553 63 591
13 905 7 973
17 999 22 1039
24 462 6 533
8 579 47 617
64 476 39 514
71 696 16 746
53 1041 75 1070
8 502 60 571
9 1056 6 1153
15 1035 73 1079
8 660 33 688
78 683 69 745
48 831 31 885
76 669 27 717
46 544 78 583
22 470 76 511
31 981 20 1032
11 772 40 845
39 880 5 943
48 927 48 1115
30 784 30 980
17 922 17 1110
18 837 18 1095
75 314 75 599
66 1174 66 1416
20 1116 20 1360
39 321 39 610
55 652 55 898
27 798 27 987
47 957 47 1199
61 738 61 992
5 531 5 825
19 624 19 909
22 337 22 528
46 422 46 605
15 1195 15 1457
8 961 8 1208
66 966 66 1171
46 311 46 513
34 417 34 599
22 861 22 1098
31 371 31 582
66 409 66 622
29 1192 29 1490
56 969 56 1215
55 802 55 1066
4 1004 4 1191
11 700 11 913
39 993 39 1215
5 580 5 822
75 1197 75 1433
45 895 45 1165
54 1171 54 1381
48 1145 48 1337
47 715 47 956
16 1153 16 1449
27 527 27 762
49 364 49 590
57 455 57 658
11 580 11 840
76 583 76 805
31 1169 31 1435
24 1076 24 1275
58 514 58 756
70 779 70 1024
38 554 38 758
41 438 41 654
35 367 35 612
12 939 12 1160
40 683 40 932
24 375 24 585
39 1019 39 1216
54 1038 54 1258
15 430 15 623
4 807 4 1054
57 744 57 1038
33 1158 33 1403
11 452 11 690
60 973 60 1268
18 1137 18 1399
62 1162 62 1437
18 415 18 667
30 950 30 1175
45 311 45 564
76 519 76 742
53 340 53 634
11 799 11 1087
25 1185 25 1454
58 911 58 1094
41 845 41 1129
19 616 19 852
38 672 38 937
53 384 53 596
15 792 15 984
61 559 61 814
26 320 26 603
28 397 28 668
9 674 9 937
13 555 13 851
50 934 50 1188
63 992 63 1176
28 568 28 805
50 665 50 880
75 983 75 1258
10 1147 10 1342
24 660 24 916
